"kit","plot","kitMarking","fileID","trueRatio"
"1","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"1","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"1","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"1","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"1","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"2","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"2","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"2","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"2","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"2","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"3","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"3","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"3","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"3","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"3","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"4","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"4","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"4","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"4","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"4","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"5","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"5","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"5","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"5","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"5","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"6","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"6","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"6","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"6","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"6","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"7","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"7","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"7","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"7","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"7","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"8","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"8","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"8","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"8","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"8","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"9","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"9","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"9","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"9","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"9","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"10","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"10","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"10","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"10","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"10","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"11","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"11","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"11","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"11","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"11","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"12","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"12","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"12","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"12","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"12","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"13","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"13","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"13","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"13","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"13","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"14","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"14","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"14","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"14","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"14","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"15","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"15","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"15","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"15","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"15","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"16","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"16","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"16","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"16","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"16","3dPrint","data/pilot/Set85/id-01/Type1-Rep01",1,17.7827941003892
"17","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"17","3dPrint","data/pilot/Set85/id-09/Type3-Rep01",14,82.5404185268019
"17","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"17","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"17","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"18","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"18","3dPrint","data/pilot/Set85/id-05/Type1-Rep01",9,38.3118684955729
"18","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"18","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"18","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"19","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"19","3dPrint","data/pilot/Set85/id-05/Type3-Rep01",10,38.3118684955729
"19","3dPrint","data/pilot/Set85/id-02/Type3-Rep01",4,56.234132519035
"19","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"19","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
"20","3dPrint","data/pilot/Set85/id-04/Type1-Rep01",7,46.4158883361278
"20","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"20","3dPrint","data/pilot/Set85/id-03/Type3-Rep01",6,68.1292069057963
"20","3dPrint","data/pilot/Set85/id-06/Type1-Rep01",11,26.1015721568254
"20","3dPrint","data/pilot/Set85/id-01/Type3-Rep01",2,17.7827941003892
"21","3dPrint","data/pilot/Set85/id-04/Type3-Rep01",8,46.4158883361278
"21","3dPrint","data/pilot/Set85/id-09/Type1-Rep01",13,82.5404185268019
"21","3dPrint","data/pilot/Set85/id-02/Type1-Rep01",3,56.234132519035
"21","3dPrint","data/pilot/Set85/id-03/Type1-Rep01",5,68.1292069057963
"21","3dPrint","data/pilot/Set85/id-06/Type3-Rep01",12,26.1015721568254
